"filename", "language", "JSON", "Django HTML", "Markdown", "TypeScript", "JSON with Comments", "XML", "TypeScript JSX", "Rust", "SQL", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\EditingCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\EvalBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 7, 94
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\EvalListener.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 0, 12, 240
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\GameNotation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 307, 0, 0, 0, 0, 0, 13, 320
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\MoveCell.css.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\MoveCell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 8, 76
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\MoveInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 3, 41
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\OpeningName.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\PiecesGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 3, 46
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\PromotionModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 1, 5, 89
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\AccountCards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 0, 11, 308
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\ChallengeHistory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 5, 85
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\Comment.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\ConfirmModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 5, 46
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\EvalChart.css.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\EvalChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 19, 286
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\FileInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 3, 39
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\GameInfo.css.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 10, 95
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\GameInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 8, 275
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\GenericCard.css.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 9, 60
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\GenericCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 4, 68
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\GoModeInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 6, 66
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\LocalImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\MoveControls.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 5, 65
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\OpenFolderButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\Piece.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 5, 83
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\ProgressButton.css.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\ProgressButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 8, 103
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\ShowMaterial.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 4, 56
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\TimeInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 1, 4, 67
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\ToggleButtonGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 6, 51
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\common\TreeStateContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\AddDatabase.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 15, 270
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\ConvertButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 6, 63
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\DatabaseView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 4, 85
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\DatabasesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 523, 0, 0, 0, 0, 0, 33, 556
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\FideInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 11, 175
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\GameCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 6, 82
